mapping_id,user_topic_label,developer_topic_label,max_lag_searched,best_lag_months,best_lag_spearman_rho,observed_max_abs_rho,pair_level_exact_p,null_nonidentity_shifts,null_extreme_count,null_max_mean,null_max_median,null_max_95pct,lag_interpretation,pair_level_fdr_bh
M009,UI Design,Environment & Interface.,6,-4,0.27501555048724863,0.27501555048724863,0.009174311926605505,108,0,0.1841326276964438,0.18821263159595203,0.2487995883954988,developer_leads_user,0.18807339449541285
M034,Troubleshooting,Troubleshooting,6,-5,-0.3651445641736904,0.3651445641736904,0.009174311926605505,108,0,0.22590897604834306,0.22933262734444185,0.3252783039988668,developer_leads_user,0.18807339449541285
M008,UI Design,Layout Challenges,6,-6,-0.29619338400035145,0.29619338400035145,0.027522935779816515,108,2,0.18835272786090143,0.18034347095275516,0.24184974775974372,developer_leads_user,0.2821100917431193
M012,Interaction Methods,Interaction Mechanics,6,-1,0.32224490136253564,0.32224490136253564,0.027522935779816515,108,2,0.21164280401902286,0.19334941161750585,0.31407384782428843,developer_leads_user,0.2821100917431193
M013,Interaction Methods,Player Interaction,6,1,0.2617418973881714,0.2617418973881714,0.045871559633027525,108,4,0.2055600152603347,0.20676288139556653,0.2600007185840206,developer_lags_user,0.3224115334207078
M023,Physical Reactions,Cybersickness,6,0,-0.2679414974094333,0.2679414974094333,0.05504587155963303,108,5,0.2052151659529866,0.2100267484914622,0.26584937291542565,synchronous,0.3224115334207078
M005,Sound Design,Audio and Visual,6,4,-0.31504250466514616,0.31504250466514616,0.06422018348623854,108,6,0.22972988663143368,0.21878517108395573,0.31466819588178807,developer_lags_user,0.3224115334207078
M019,Hardware Support,Compatibility Issues,6,2,0.276413047288157,0.276413047288157,0.07339449541284404,108,7,0.20993574073226468,0.2055556815253804,0.2817716252902791,developer_lags_user,0.3224115334207078
M022,Comfort Issues,Cybersickness,6,-3,0.251369121092274,0.251369121092274,0.07339449541284404,108,7,0.20102034184509185,0.2186441087696269,0.2550111182754635,developer_leads_user,0.3224115334207078
M028,Installation,Installation and Setup,6,4,-0.3192017827832013,0.3192017827832013,0.09174311926605505,108,9,0.21572787680458508,0.22068202976477674,0.328108749053799,developer_lags_user,0.3224115334207078
M004,Light Design,Rendering Issues,6,3,-0.32928012011117935,0.32928012011117935,0.10091743119266056,108,10,0.22447821436680737,0.20377971986846205,0.3365223948420573,developer_lags_user,0.3224115334207078
M024,Network connect,Streaming and Mapping,6,0,0.3107711127101536,0.3107711127101536,0.10091743119266056,108,10,0.22843523638826532,0.21763778462602518,0.31317057465107506,synchronous,0.3224115334207078
M021,Motion Design,Interaction Mechanics,6,-5,-0.24839432412247947,0.24839432412247947,0.11009174311926606,108,11,0.20197369458348088,0.2076933008575393,0.2542779530054899,developer_leads_user,0.3224115334207078
