stakeholder,month,topic_id,absolute_impact,relative_impact,monthly_document_count
user,2016-02,9,1,0.00819672131147541,122
user,2016-02,10,3,0.02459016393442623,122
user,2016-02,11,2,0.01639344262295082,122
user,2016-02,12,3,0.02459016393442623,122
user,2016-02,13,4,0.03278688524590164,122
user,2016-02,14,3,0.02459016393442623,122
user,2016-02,15,3,0.02459016393442623,122
user,2016-02,16,3,0.02459016393442623,122
user,2016-02,17,2,0.01639344262295082,122
user,2016-02,18,1,0.00819672131147541,122
user,2016-02,19,1,0.00819672131147541,122
user,2016-02,20,2,0.01639344262295082,122
user,2016-02,21,4,0.03278688524590164,122
user,2016-02,22,1,0.00819672131147541,122
user,2016-02,23,3,0.02459016393442623,122
user,2016-02,24,1,0.00819672131147541,122
user,2016-02,25,2,0.01639344262295082,122
user,2016-02,26,1,0.00819672131147541,122
user,2016-02,27,2,0.01639344262295082,122
user,2016-02,28,3,0.02459016393442623,122
user,2016-02,29,1,0.00819672131147541,122
user,2016-02,31,3,0.02459016393442623,122
user,2016-02,32,4,0.03278688524590164,122
user,2016-02,33,2,0.01639344262295082,122
user,2016-02,34,1,0.00819672131147541,122
user,2016-02,35,3,0.02459016393442623,122
user,2016-02,36,2,0.01639344262295082,122
user,2016-02,38,3,0.02459016393442623,122
user,2016-02,39,8,0.06557377049180328,122
user,2016-02,41,4,0.03278688524590164,122
user,2016-02,42,4,0.03278688524590164,122
user,2016-02,43,4,0.03278688524590164,122
user,2016-02,44,3,0.02459016393442623,122
user,2016-02,45,1,0.00819672131147541,122
user,2016-02,46,1,0.00819672131147541,122
user,2016-02,47,2,0.01639344262295082,122
user,2016-02,48,5,0.040983606557377046,122
user,2016-02,49,3,0.02459016393442623,122
user,2016-03,0,55,0.02832131822863028,1942
user,2016-03,1,26,0.013388259526261586,1942
user,2016-03,2,30,0.015447991761071062,1942
user,2016-03,3,46,0.02368692070030896,1942
user,2016-03,4,40,0.02059732234809475,1942
user,2016-03,5,42,0.021627188465499485,1942
user,2016-03,6,48,0.024716786817713696,1942
user,2016-03,7,38,0.01956745623069001,1942
user,2016-03,8,45,0.023171987641606592,1942
user,2016-03,9,39,0.02008238928939238,1942
user,2016-03,10,35,0.018022657054582905,1942
user,2016-03,11,35,0.018022657054582905,1942
user,2016-03,12,57,0.029351184346035016,1942
user,2016-03,13,32,0.016477857878475798,1942
user,2016-03,14,42,0.021627188465499485,1942
user,2016-03,15,38,0.01956745623069001,1942
user,2016-03,16,44,0.02265705458290422,1942
user,2016-03,17,44,0.02265705458290422,1942
user,2016-03,18,42,0.021627188465499485,1942
user,2016-03,19,31,0.01596292481977343,1942
user,2016-03,20,26,0.013388259526261586,1942
user,2016-03,21,30,0.015447991761071062,1942
user,2016-03,22,37,0.01905252317198764,1942
user,2016-03,23,39,0.02008238928939238,1942
user,2016-03,24,39,0.02008238928939238,1942
user,2016-03,25,55,0.02832131822863028,1942
user,2016-03,26,51,0.026261585993820804,1942
user,2016-03,27,40,0.02059732234809475,1942
user,2016-03,28,21,0.010813594232749742,1942
user,2016-03,29,30,0.015447991761071062,1942
user,2016-03,30,31,0.01596292481977343,1942
user,2016-03,31,34,0.017507723995880537,1942
user,2016-03,32,31,0.01596292481977343,1942
user,2016-03,33,28,0.014418125643666324,1942
user,2016-03,34,46,0.02368692070030896,1942
user,2016-03,35,58,0.029866117404737384,1942
user,2016-03,36,33,0.016992790937178166,1942
user,2016-03,37,38,0.01956745623069001,1942
user,2016-03,38,38,0.01956745623069001,1942
user,2016-03,39,43,0.022142121524201853,1942
user,2016-03,40,26,0.013388259526261586,1942
user,2016-03,41,41,0.021112255406797117,1942
user,2016-03,42,31,0.01596292481977343,1942
user,2016-03,43,30,0.015447991761071062,1942
user,2016-03,44,42,0.021627188465499485,1942
user,2016-03,45,39,0.02008238928939238,1942
user,2016-03,46,40,0.02059732234809475,1942
user,2016-03,47,55,0.02832131822863028,1942
user,2016-03,48,41,0.021112255406797117,1942
user,2016-03,49,40,0.02059732234809475,1942
user,2016-04,0,120,0.025559105431309903,4695
user,2016-04,1,78,0.016613418530351438,4695
user,2016-04,2,73,0.015548455804046858,4695
user,2016-04,3,105,0.022364217252396165,4695
user,2016-04,4,83,0.017678381256656016,4695
user,2016-04,5,79,0.016826411075612353,4695
user,2016-04,6,113,0.02406815761448349,4695
user,2016-04,7,116,0.02470713525026624,4695
user,2016-04,8,96,0.020447284345047924,4695
user,2016-04,9,79,0.016826411075612353,4695
user,2016-04,10,76,0.016187433439829604,4695
user,2016-04,11,67,0.014270500532481363,4695
user,2016-04,12,89,0.018956336528221512,4695
user,2016-04,13,114,0.02428115015974441,4695
user,2016-04,14,116,0.02470713525026624,4695
user,2016-04,15,80,0.01703940362087327,4695
user,2016-04,16,94,0.02002129925452609,4695
user,2016-04,17,83,0.017678381256656016,4695
user,2016-04,18,109,0.02321618743343983,4695
user,2016-04,19,70,0.014909478168264111,4695
user,2016-04,20,77,0.016400425985090523,4695
user,2016-04,21,101,0.021512247071352502,4695
user,2016-04,22,79,0.016826411075612353,4695
user,2016-04,23,94,0.02002129925452609,4695
user,2016-04,24,76,0.016187433439829604,4695
user,2016-04,25,128,0.02726304579339723,4695
user,2016-04,26,101,0.021512247071352502,4695
user,2016-04,27,107,0.022790202342918,4695
user,2016-04,28,71,0.015122470713525026,4695
user,2016-04,29,87,0.01853035143769968,4695
user,2016-04,30,95,0.02023429179978701,4695
user,2016-04,31,115,0.024494142705005325,4695
user,2016-04,32,83,0.017678381256656016,4695
user,2016-04,33,72,0.015335463258785943,4695
user,2016-04,34,128,0.02726304579339723,4695
user,2016-04,35,94,0.02002129925452609,4695
user,2016-04,36,95,0.02023429179978701,4695
user,2016-04,37,115,0.024494142705005325,4695
user,2016-04,38,122,0.025985090521831736,4695
user,2016-04,39,96,0.020447284345047924,4695
user,2016-04,40,100,0.021299254526091587,4695
user,2016-04,41,114,0.02428115015974441,4695
user,2016-04,42,100,0.021299254526091587,4695
user,2016-04,43,83,0.017678381256656016,4695
user,2016-04,44,86,0.018317358892438764,4695
user,2016-04,45,85,0.01810436634717785,4695
user,2016-04,46,99,0.021086261980830672,4695
user,2016-04,47,82,0.0174653887113951,4695
user,2016-04,48,102,0.021725239616613417,4695
user,2016-04,49,68,0.01448349307774228,4695
user,2016-05,0,98,0.02176326893182323,4503
user,2016-05,1,90,0.019986675549633577,4503
user,2016-05,2,69,0.015323117921385743,4503
user,2016-05,3,105,0.023317788141239172,4503
user,2016-05,4,82,0.018210082167443926,4503
user,2016-05,5,71,0.015767266266933155,4503
user,2016-05,6,93,0.020652898067954697,4503
user,2016-05,7,99,0.021985343104596936,4503
user,2016-05,8,107,0.023761936486786588,4503
user,2016-05,9,102,0.022651565622918056,4503
user,2016-05,10,73,0.01621141461248057,4503
user,2016-05,11,79,0.017543859649122806,4503
user,2016-05,12,86,0.019098378858538753,4503
user,2016-05,13,109,0.024206084832334,4503
user,2016-05,14,113,0.025094381523428824,4503
user,2016-05,15,99,0.021985343104596936,4503
user,2016-05,16,79,0.017543859649122806,4503
user,2016-05,17,80,0.017765933821896514,4503
user,2016-05,18,102,0.022651565622918056,4503
user,2016-05,19,59,0.01310237619364868,4503
user,2016-05,20,79,0.017543859649122806,4503
user,2016-05,21,93,0.020652898067954697,4503
user,2016-05,22,64,0.014212747057517211,4503
user,2016-05,23,93,0.020652898067954697,4503
