month,Adventure Games,Audio Interactions,Comfort Issues,Customization,Female Character,Game Content,Game Graphics,Game Interface,Game Mechanics,Game Story,Game Strategy,Game Style,Gameplay Complexity,Golfing Game,Hardware Support,Horror Game,Input Methods,Installation,Interaction Methods,Kids and Students,LGBTQ,Language,Light Design,Linux OS,Mac OS,Motion Design,Multiplayer,Network connect,Performance Issues,Physical Reactions,Play Scale,Pricing,Privacy & Security,Rhythm Games,Scene Design,Setup,Sound Design,Sports Games,Target Tracking,Technical Issues,Troubleshooting,UI Design,VR Elements
2015-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
2015-08,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,0.07407407407407407,0.0,0.037037037037037035,0.0,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.037037037037037035,0.0,0.07407407407407407,0.0,0.0
2015-09,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.23076923076923078,0.0,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0
2015-10,0.0,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0,0.125,0.0625,0.0625
2015-11,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0
2015-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
2016-01,0.0,0.0392156862745098,0.0392156862745098,0.058823529411764705,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.0,0.0,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0196078431372549,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0392156862745098,0.0,0.0,0.0392156862745098,0.0392156862745098,0.0,0.0392156862745098,0.0196078431372549,0.0784313725490196,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.0,0.0392156862745098,0.0,0.0392156862745098,0.0196078431372549,0.0
2016-02,0.03418803418803419,0.042735042735042736,0.03418803418803419,0.05128205128205128,0.05128205128205128,0.0,0.02564102564102564,0.017094017094017096,0.017094017094017096,0.008547008547008548,0.02564102564102564,0.08547008547008547,0.017094017094017096,0.008547008547008548,0.05128205128205128,0.03418803418803419,0.02564102564102564,0.0,0.017094017094017096,0.008547008547008548,0.008547008547008548,0.017094017094017096,0.008547008547008548,0.017094017094017096,0.017094017094017096,0.05982905982905983,0.02564102564102564,0.02564102564102564,0.017094017094017096,0.0,0.03418803418803419,0.03418803418803419,0.02564102564102564,0.02564102564102564,0.017094017094017096,0.017094017094017096,0.017094017094017096,0.008547008547008548,0.008547008547008548,0.0,0.02564102564102564,0.02564102564102564,0.008547008547008548
2016-03,0.01945137157107232,0.02144638403990025,0.018952618453865335,0.03690773067331671,0.02493765586034913,0.04488778054862843,0.04937655860349127,0.014962593516209476,0.030423940149625937,0.01596009975062344,0.024438902743142144,0.03541147132169576,0.022443890274314215,0.016458852867830425,0.02892768079800499,0.020448877805486283,0.024438902743142144,0.02942643391521197,0.0199501246882793,0.021945137157107233,0.018453865336658354,0.017456359102244388,0.02493765586034913,0.017456359102244388,0.027930174563591023,0.03640897755610972,0.020947630922693267,0.020448877805486283,0.02344139650872818,0.02144638403990025,0.011471321695760598,0.0428927680798005,0.022443890274314215,0.016957605985037406,0.0199501246882793,0.016458852867830425,0.016957605985037406,0.015461346633416459,0.02144638403990025,0.011471321695760598,0.018453865336658354,0.020448877805486283,0.015461346633416459
