month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49
2015-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08,0.032258064516129,0.0,0.0,0.0,0.0967741935483871,0.032258064516129,0.0,0.064516129032258,0.064516129032258,0.032258064516129,0.0,0.0,0.0,0.0,0.032258064516129,0.032258064516129,0.0,0.0,0.032258064516129,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.064516129032258,0.064516129032258,0.032258064516129,0.0,0.064516129032258,0.032258064516129,0.0,0.0,0.032258064516129,0.0,0.032258064516129,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.032258064516129,0.064516129032258,0.0,0.032258064516129
2015-09,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.0,0.0526315789473684,0.0,0.0,0.0526315789473684,0.0,0.0,0.1052631578947368,0.0,0.0526315789473684,0.0,0.0526315789473684,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0526315789473684,0.0,0.1578947368421052,0.0526315789473684,0.0,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0
2015-10,0.0,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.1538461538461538,0.0,0.0,0.0769230769230769,0.0,0.0769230769230769,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0,0.0
2015-11,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0666666666666666,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.1333333333333333,0.0,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0
2015-12,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0769230769230769,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0
2016-01,0.0357142857142857,0.0178571428571428,0.0,0.0178571428571428,0.0,0.0357142857142857,0.0357142857142857,0.0178571428571428,0.0178571428571428,0.0,0.0178571428571428,0.0,0.0178571428571428,0.0,0.0,0.0178571428571428,0.0178571428571428,0.0178571428571428,0.0178571428571428,0.0,0.0178571428571428,0.0178571428571428,0.0,0.0,0.0178571428571428,0.0178571428571428,0.0535714285714285,0.0178571428571428,0.0357142857142857,0.0357142857142857,0.0178571428571428,0.0357142857142857,0.0357142857142857,0.0178571428571428,0.0,0.0535714285714285,0.0178571428571428,0.0535714285714285,0.0,0.0178571428571428,0.0357142857142857,0.0535714285714285,0.0178571428571428,0.0357142857142857,0.0178571428571428,0.0178571428571428,0.0535714285714285,0.0178571428571428,0.0,0.0
2016-02,0.0327868852459016,0.0245901639344262,0.0,0.0081967213114754,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0081967213114754,0.0491803278688524,0.0081967213114754,0.0245901639344262,0.0163934426229508,0.0245901639344262,0.0327868852459016,0.0245901639344262,0.0245901639344262,0.0245901639344262,0.0163934426229508,0.0081967213114754,0.0081967213114754,0.0163934426229508,0.0327868852459016,0.0081967213114754,0.0245901639344262,0.0081967213114754,0.0163934426229508,0.0081967213114754,0.0163934426229508,0.0245901639344262,0.0081967213114754,0.0,0.0245901639344262,0.0327868852459016,0.0163934426229508,0.0081967213114754,0.0245901639344262,0.0163934426229508,0.0,0.0245901639344262,0.0655737704918032,0.0,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0245901639344262,0.0081967213114754,0.0081967213114754,0.0163934426229508,0.040983606557377,0.0245901639344262
2016-03,0.0283213182286302,0.0133882595262615,0.015447991761071,0.0236869207003089,0.0205973223480947,0.0216271884654994,0.0247167868177136,0.01956745623069,0.0231719876416065,0.0200823892893923,0.0180226570545829,0.0180226570545829,0.029351184346035,0.0164778578784757,0.0216271884654994,0.01956745623069,0.0226570545829042,0.0226570545829042,0.0216271884654994,0.0159629248197734,0.0133882595262615,0.015447991761071,0.0190525231719876,0.0200823892893923,0.0200823892893923,0.0283213182286302,0.0262615859938208,0.0205973223480947,0.0108135942327497,0.015447991761071,0.0159629248197734,0.0175077239958805,0.0159629248197734,0.0144181256436663,0.0236869207003089,0.0298661174047373,0.0169927909371781,0.01956745623069,0.01956745623069,0.0221421215242018,0.0133882595262615,0.0211122554067971,0.0159629248197734,0.015447991761071,0.0216271884654994,0.0200823892893923,0.0205973223480947,0.0283213182286302,0.0211122554067971,0.0205973223480947
2016-04,0.0255591054313099,0.0166134185303514,0.0155484558040468,0.0223642172523961,0.017678381256656,0.0168264110756123,0.0240681576144834,0.0247071352502662,0.0204472843450479,0.0168264110756123,0.0161874334398296,0.0142705005324813,0.0189563365282215,0.0242811501597444,0.0247071352502662,0.0170394036208732,0.020021299254526,0.017678381256656,0.0232161874334398,0.0149094781682641,0.0164004259850905,0.0215122470713525,0.0168264110756123,0.020021299254526,0.0161874334398296,0.0272630457933972,0.0215122470713525,0.022790202342918,0.015122470713525,0.0185303514376996,0.020234291799787,0.0244941427050053,0.017678381256656,0.0153354632587859,0.0272630457933972,0.020021299254526,0.020234291799787,0.0244941427050053,0.0259850905218317,0.0204472843450479,0.0212992545260915,0.0242811501597444,0.0212992545260915,0.017678381256656,0.0183173588924387,0.0181043663471778,0.0210862619808306,0.0174653887113951,0.0217252396166134,0.0144834930777422
2016-05,0.0217632689318232,0.0199866755496335,0.0153231179213857,0.0233177881412391,0.0182100821674439,0.0157672662669331,0.0206528980679546,0.0219853431045969,0.0237619364867865,0.022651565622918,0.0162114146124805,0.0175438596491228,0.0190983788585387,0.024206084832334,0.0250943815234288,0.0219853431045969,0.0175438596491228,0.0177659338218965,0.022651565622918,0.0131023761936486,0.0175438596491228,0.0206528980679546,0.0142127470575172,0.0206528980679546,0.0142127470575172,0.0235398623140128,0.0164334887852542,0.0266489007328447,0.0177659338218965,0.022651565622918,0.0202087497224072,0.0215411947590495,0.0155451920941594,0.0195425272040861,0.0190983788585387,0.0246502331778814,0.0206528980679546,0.0222074172773706,0.0255385298689762,0.0177659338218965,0.0235398623140128,0.0255385298689762,0.0148789695758383,0.0173217854763491,0.015101043748612,0.0237619364867865,0.0206528980679546,0.018876304685765,0.0213191205862758,0.0193204530313124
2016-06,0.02512297962052,0.0172171468728039,0.016514406184118,0.0238931834153197,0.0214335910049191,0.0161630358397751,0.02512297962052,0.0272312016865776,0.0182712579058327,0.019501054111033,0.0172171468728039,0.0147575544624033,0.0205551651440618,0.0186226282501756,0.0254743499648629,0.0219606465214335,0.0179198875614898,0.0203794799718903,0.0184469430780042,0.0128250175685172,0.0145818692902319,0.0210822206605762,0.0149332396345748,0.0228390723822909,0.0179198875614898,0.0212579058327477,0.0193253689388615,0.0256500351370344,0.0217849613492621,0.0196767392832044,0.0184469430780042,0.0267041461700632,0.0147575544624033,0.0180955727336612,0.0216092761770906,0.0228390723822909,0.0238931834153197,0.0198524244553759,0.0256500351370344,0.0147575544624033,0.0205551651440618,0.0261770906535488,0.0140548137737174,0.0182712579058327,0.0212579058327477,0.0189739985945186,0.0200281096275474,0.0193253689388615,0.0196767392832044,0.0173928320449754
2016-07,0.0260854028944077,0.0169733785956762,0.0219760586028229,0.0194747185992495,0.0192960514561372,0.017330712881901,0.0255494014650705,0.0250134000357334,0.0201893871716991,0.0187600500268,0.0230480614614972,0.0159013757370019,0.0159013757370019,0.0200107200285867,0.0257280686081829,0.0184027157405753,0.0159013757370019,0.0178667143112381,0.0164373771663391,0.0157227085938895,0.0146507057352152,0.0200107200285867,0.01500804002144,0.0198320528854743,0.01500804002144,0.0241200643201715,0.0198320528854743,0.0253707343219581,0.0242987314632839,0.0207253886010362,0.0178667143112381,0.0260854028944077,0.0139360371627657,0.0185813828836876,0.0235840628908343,0.0216187243165981,0.0234053957477219,0.0205467214579238,0.0260854028944077,0.0155440414507772,0.0226907271752724,0.0257280686081829,0.0162587100232267,0.0187600500268,0.0189387171699124,0.0241200643201715,0.0148293728783276,0.0221547257459353,0.0180453814543505,0.0167947114525638
