stakeholder,month,topic_id,absolute_impact,relative_impact,monthly_document_count
developer,2015-08,35,69,0.0238671739882393,2891
developer,2015-08,36,70,0.0242130750605326,2891
developer,2015-08,37,75,0.0259425804219993,2891
developer,2015-08,38,81,0.0280179868557592,2891
developer,2015-08,39,53,0.0183327568315461,2891
developer,2015-09,0,65,0.0223367697594501,2910
developer,2015-09,1,81,0.0278350515463917,2910
developer,2015-09,2,80,0.0274914089347079,2910
developer,2015-09,3,54,0.0185567010309278,2910
developer,2015-09,4,63,0.0216494845360824,2910
developer,2015-09,5,103,0.0353951890034364,2910
developer,2015-09,6,101,0.0347079037800687,2910
developer,2015-09,7,55,0.0189003436426116,2910
developer,2015-09,8,101,0.0347079037800687,2910
developer,2015-09,9,66,0.022680412371134,2910
developer,2015-09,10,100,0.0343642611683848,2910
developer,2015-09,11,66,0.022680412371134,2910
developer,2015-09,12,86,0.0295532646048109,2910
developer,2015-09,13,92,0.031615120274914,2910
developer,2015-09,14,59,0.020274914089347,2910
developer,2015-09,15,60,0.0206185567010309,2910
developer,2015-09,16,76,0.0261168384879725,2910
developer,2015-09,17,33,0.011340206185567,2910
developer,2015-09,18,41,0.0140893470790378,2910
developer,2015-09,19,44,0.0151202749140893,2910
developer,2015-09,20,73,0.0250859106529209,2910
developer,2015-09,21,51,0.0175257731958762,2910
developer,2015-09,22,92,0.031615120274914,2910
developer,2015-09,23,45,0.0154639175257731,2910
developer,2015-09,24,68,0.0233676975945017,2910
developer,2015-09,25,82,0.0281786941580756,2910
developer,2015-09,26,92,0.031615120274914,2910
developer,2015-09,27,98,0.0336769759450171,2910
developer,2015-09,28,43,0.0147766323024054,2910
developer,2015-09,29,39,0.0134020618556701,2910
developer,2015-09,30,61,0.0209621993127147,2910
developer,2015-09,31,98,0.0336769759450171,2910
developer,2015-09,32,119,0.040893470790378,2910
developer,2015-09,33,117,0.0402061855670103,2910
developer,2015-09,34,67,0.0230240549828178,2910
developer,2015-09,35,77,0.0264604810996563,2910
developer,2015-09,36,61,0.0209621993127147,2910
developer,2015-09,37,84,0.0288659793814433,2910
developer,2015-09,38,69,0.0237113402061855,2910
developer,2015-09,39,48,0.0164948453608247,2910
developer,2015-10,0,89,0.0326965466568699,2722
developer,2015-10,1,74,0.0271858927259368,2722
developer,2015-10,2,96,0.035268185157972,2722
developer,2015-10,3,51,0.0187362233651726,2722
developer,2015-10,4,52,0.0191036002939015,2722
developer,2015-10,5,100,0.0367376928728875,2722
developer,2015-10,6,85,0.0312270389419544,2722
developer,2015-10,7,60,0.0220426157237325,2722
developer,2015-10,8,69,0.0253490080822924,2722
developer,2015-10,9,60,0.0220426157237325,2722
developer,2015-10,10,98,0.0360029390154298,2722
developer,2015-10,11,85,0.0312270389419544,2722
developer,2015-10,12,81,0.0297575312270389,2722
developer,2015-10,13,74,0.0271858927259368,2722
developer,2015-10,14,40,0.014695077149155,2722
developer,2015-10,15,56,0.020573108008817,2722
developer,2015-10,16,66,0.0242468772961058,2722
developer,2015-10,17,41,0.0150624540778839,2722
developer,2015-10,18,62,0.0227773695811903,2722
developer,2015-10,19,40,0.014695077149155,2722
developer,2015-10,20,57,0.0209404849375459,2722
developer,2015-10,21,76,0.0279206465833945,2722
developer,2015-10,22,82,0.0301249081557678,2722
developer,2015-10,23,55,0.0202057310800881,2722
developer,2015-10,24,54,0.0198383541513592,2722
developer,2015-10,25,60,0.0220426157237325,2722
developer,2015-10,26,96,0.035268185157972,2722
developer,2015-10,27,81,0.0297575312270389,2722
developer,2015-10,28,42,0.0154298310066127,2722
developer,2015-10,29,56,0.020573108008817,2722
developer,2015-10,30,44,0.0161645848640705,2722
developer,2015-10,31,77,0.0282880235121234,2722
developer,2015-10,32,91,0.0334313005143277,2722
developer,2015-10,33,107,0.0393093313739897,2722
developer,2015-10,34,45,0.0165319617927994,2722
developer,2015-10,35,68,0.0249816311535635,2722
developer,2015-10,36,44,0.0161645848640705,2722
developer,2015-10,37,71,0.0260837619397501,2722
developer,2015-10,38,78,0.0286554004408523,2722
developer,2015-10,39,59,0.0216752387950036,2722
developer,2015-11,0,50,0.0260145681581685,1922
developer,2015-11,1,65,0.0338189386056191,1922
developer,2015-11,2,51,0.0265348595213319,1922
developer,2015-11,3,45,0.0234131113423517,1922
developer,2015-11,4,27,0.014047866805411,1922
developer,2015-11,5,57,0.0296566077003121,1922
developer,2015-11,6,45,0.0234131113423517,1922
developer,2015-11,7,38,0.0197710718002081,1922
developer,2015-11,8,36,0.0187304890738813,1922
developer,2015-11,9,34,0.0176899063475546,1922
developer,2015-11,10,31,0.0161290322580645,1922
developer,2015-11,11,65,0.0338189386056191,1922
developer,2015-11,12,77,0.0400624349635796,1922
developer,2015-11,13,77,0.0400624349635796,1922
developer,2015-11,14,55,0.0286160249739854,1922
developer,2015-11,15,50,0.0260145681581685,1922
developer,2015-11,16,49,0.0254942767950052,1922
developer,2015-11,17,28,0.0145681581685744,1922
developer,2015-11,18,42,0.0218522372528616,1922
developer,2015-11,19,27,0.014047866805411,1922
developer,2015-11,20,39,0.0202913631633714,1922
developer,2015-11,21,90,0.0468262226847034,1922
developer,2015-11,22,63,0.0327783558792924,1922
developer,2015-11,23,42,0.0218522372528616,1922
developer,2015-11,24,29,0.0150884495317377,1922
developer,2015-11,25,36,0.0187304890738813,1922
developer,2015-11,26,67,0.0348595213319458,1922
developer,2015-11,27,31,0.0161290322580645,1922
developer,2015-11,28,26,0.0135275754422476,1922
developer,2015-11,29,63,0.0327783558792924,1922
developer,2015-11,30,43,0.0223725286160249,1922
developer,2015-11,31,46,0.023933402705515,1922
developer,2015-11,32,55,0.0286160249739854,1922
developer,2015-11,33,60,0.0312174817898022,1922
developer,2015-11,34,40,0.0208116545265348,1922
developer,2015-11,35,75,0.0390218522372528,1922
developer,2015-11,36,33,0.0171696149843912,1922
developer,2015-11,37,42,0.0218522372528616,1922
developer,2015-11,38,53,0.0275754422476586,1922
developer,2015-11,39,40,0.0208116545265348,1922
developer,2015-12,0,51,0.0243436754176611,2095
developer,2015-12,1,60,0.0286396181384248,2095
developer,2015-12,2,73,0.0348448687350835,2095
developer,2015-12,3,41,0.0195704057279236,2095
developer,2015-12,4,28,0.0133651551312649,2095
developer,2015-12,5,65,0.0310262529832935,2095
developer,2015-12,6,62,0.0295942720763723,2095
developer,2015-12,7,26,0.0124105011933174,2095
developer,2015-12,8,45,0.0214797136038186,2095
developer,2015-12,9,55,0.026252983293556,2095
developer,2015-12,10,34,0.0162291169451073,2095
developer,2015-12,11,101,0.0482100238663484,2095
developer,2015-12,12,58,0.0276849642004773,2095
developer,2015-12,13,96,0.0458233890214797,2095
developer,2015-12,14,45,0.0214797136038186,2095
developer,2015-12,15,59,0.028162291169451,2095
developer,2015-12,16,61,0.0291169451073985,2095
developer,2015-12,17,25,0.0119331742243436,2095
developer,2015-12,18,44,0.0210023866348448,2095
developer,2015-12,19,28,0.0133651551312649,2095
developer,2015-12,20,31,0.0147971360381861,2095
developer,2015-12,21,103,0.0491646778042959,2095
developer,2015-12,22,76,0.0362768496420047,2095
developer,2015-12,23,34,0.0162291169451073,2095
developer,2015-12,24,48,0.0229116945107398,2095
developer,2015-12,25,41,0.0195704057279236,2095
developer,2015-12,26,63,0.030071599045346,2095
developer,2015-12,27,33,0.0157517899761336,2095
developer,2015-12,28,36,0.0171837708830548,2095
developer,2015-12,29,73,0.0348448687350835,2095
developer,2015-12,30,51,0.0243436754176611,2095
developer,2015-12,31,58,0.0276849642004773,2095
developer,2015-12,32,51,0.0243436754176611,2095
developer,2015-12,33,53,0.0252983293556085,2095
developer,2015-12,34,35,0.0167064439140811,2095
developer,2015-12,35,75,0.035799522673031,2095
developer,2015-12,36,30,0.0143198090692124,2095
developer,2015-12,37,52,0.0248210023866348,2095
developer,2015-12,38,65,0.0310262529832935,2095
developer,2015-12,39,30,0.0143198090692124,2095
developer,2016-01,0,272,0.0261463039507834,10403
developer,2016-01,1,343,0.0329712582908776,10403
developer,2016-01,2,181,0.0173988272613669,10403
developer,2016-01,3,192,0.0184562145534941,10403
developer,2016-01,4,108,0.0103816206863404,10403
developer,2016-01,5,330,0.0317216187638181,10403
developer,2016-01,6,177,0.0170143227915024,10403
developer,2016-01,7,174,0.0167259444391041,10403
developer,2016-01,8,126,0.0121118908007305,10403
developer,2016-01,9,272,0.0261463039507834,10403
developer,2016-01,10,131,0.0125925213880611,10403
developer,2016-01,11,599,0.0575795443622032,10403
developer,2016-01,12,215,0.0206671152552148,10403
developer,2016-01,13,378,0.0363356724021916,10403
developer,2016-01,14,324,0.0311448620590214,10403
developer,2016-01,15,246,0.0236470248966644,10403
developer,2016-01,16,236,0.0226857637220032,10403
developer,2016-01,17,213,0.0204748630202826,10403
developer,2016-01,18,173,0.0166298183216379,10403
developer,2016-01,19,136,0.0130731519753917,10403
developer,2016-01,20,201,0.0193213496106892,10403
developer,2016-01,21,504,0.0484475632029222,10403
developer,2016-01,22,328,0.0315293665288858,10403
developer,2016-01,23,256,0.0246082860713255,10403
developer,2016-01,24,144,0.0138421609151206,10403
developer,2016-01,25,325,0.0312409881764875,10403
developer,2016-01,26,437,0.0420071133326924,10403
developer,2016-01,27,273,0.0262424300682495,10403
developer,2016-01,28,252,0.0242237816014611,10403
developer,2016-01,29,401,0.0385465731039123,10403
developer,2016-01,30,158,0.0151879265596462,10403
developer,2016-01,31,200,0.0192252234932231,10403
developer,2016-01,32,268,0.0257617994809189,10403
developer,2016-01,33,202,0.0194174757281553,10403
developer,2016-01,34,189,0.0181678362010958,10403
developer,2016-01,35,386,0.0371046813419205,10403
developer,2016-01,36,160,0.0153801787945784,10403
developer,2016-01,37,264,0.0253772950110545,10403
developer,2016-01,38,306,0.0294145919446313,10403
developer,2016-01,39,323,0.0310487359415553,10403
developer,2016-02,0,61,0.0157704239917269,3868
developer,2016-02,1,156,0.0403309203722854,3868
developer,2016-02,2,62,0.0160289555325749,3868
developer,2016-02,3,64,0.0165460186142709,3868
developer,2016-02,4,56,0.014477766287487,3868
developer,2016-02,5,84,0.0217166494312306,3868
developer,2016-02,6,84,0.0217166494312306,3868
developer,2016-02,7,72,0.0186142709410548,3868
developer,2016-02,8,73,0.0188728024819027,3868
developer,2016-02,9,106,0.0274043433298862,3868
developer,2016-02,10,44,0.0113753877973112,3868
developer,2016-02,11,189,0.0488624612202688,3868
developer,2016-02,12,102,0.0263702171664943,3868
developer,2016-02,13,56,0.014477766287487,3868
developer,2016-02,14,145,0.0374870734229576,3868
developer,2016-02,15,155,0.0400723888314374,3868
developer,2016-02,16,54,0.0139607032057911,3868
developer,2016-02,17,75,0.0193898655635987,3868
developer,2016-02,18,40,0.0103412616339193,3868
developer,2016-02,19,81,0.0209410548086866,3868
developer,2016-02,20,65,0.0168045501551189,3868
developer,2016-02,21,113,0.0292140641158221,3868
developer,2016-02,22,88,0.0227507755946225,3868
developer,2016-02,23,133,0.0343846949327818,3868
developer,2016-02,24,99,0.0255946225439503,3868
developer,2016-02,25,149,0.0385211995863495,3868
developer,2016-02,26,197,0.0509307135470527,3868
developer,2016-02,27,107,0.0276628748707342,3868
developer,2016-02,28,86,0.0222337125129265,3868
developer,2016-02,29,113,0.0292140641158221,3868
developer,2016-02,30,67,0.0173216132368148,3868
developer,2016-02,31,83,0.0214581178903826,3868
developer,2016-02,32,151,0.0390382626680455,3868
developer,2016-02,33,63,0.0162874870734229,3868
developer,2016-02,34,40,0.0103412616339193,3868
developer,2016-02,35,152,0.0392967942088934,3868
developer,2016-02,36,65,0.0168045501551189,3868
developer,2016-02,37,48,0.0124095139607032,3868
developer,2016-02,38,67,0.0173216132368148,3868
developer,2016-02,39,223,0.0576525336091003,3868
developer,2016-03,0,53,0.0277632268203247,1909
developer,2016-03,1,58,0.0303823991618648,1909
