month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39
2013-02,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
2013-03,0.02494802494802495,0.02286902286902287,0.02702702702702703,0.02079002079002079,0.02494802494802495,0.012474012474012475,0.02079002079002079,0.037422037422037424,0.02494802494802495,0.031185031185031187,0.010395010395010396,0.037422037422037424,0.031185031185031187,0.02286902286902287,0.033264033264033266,0.02079002079002079,0.010395010395010396,0.033264033264033266,0.008316008316008316,0.014553014553014554,0.018711018711018712,0.018711018711018712,0.037422037422037424,0.02079002079002079,0.033264033264033266,0.035343035343035345,0.04365904365904366,0.029106029106029108,0.02702702702702703,0.02494802494802495,0.02494802494802495,0.02079002079002079,0.02079002079002079,0.018711018711018712,0.012474012474012475,0.031185031185031187,0.029106029106029108,0.02079002079002079,0.037422037422037424,0.02494802494802495
2013-04,0.026481234520861117,0.026100209563726422,0.020765860163840733,0.019051247856734618,0.018098685463897885,0.016955610592493807,0.031434558963612115,0.022480472470946845,0.019813297771004,0.02419508477805296,0.016955610592493807,0.027624309392265192,0.02686225947799581,0.023242522385216232,0.02419508477805296,0.025147647170889693,0.024957134692322348,0.021527910078110116,0.029338921699371308,0.01943227281386931,0.028957896742236616,0.024004572299485615,0.03372070870642027,0.028195846827967233,0.026100209563726422,0.02381405982091827,0.03543532101352639,0.0325776338350162,0.027814821870832538,0.022480472470946845,0.020003810249571347,0.0222899599923795,0.028957896742236616,0.01790817298533054,0.022670984949514195,0.026671746999428463,0.028957896742236616,0.02571918460659173,0.031625071442179464,0.027433796913697846
2013-05,0.024768296580377117,0.023330137424097154,0.019654841802492808,0.019974432726110578,0.017417705337168424,0.017897091722595078,0.038510706295941194,0.017737296260786194,0.019974432726110578,0.02556727388942154,0.015500159795461809,0.022690955576861616,0.031639501438159155,0.03483541067433685,0.02652604666027485,0.02860338766379035,0.029242569511025888,0.027484819431128155,0.03004154682007031,0.024608501118568233,0.02556727388942154,0.017897091722595078,0.03771172898689677,0.03275806967082135,0.02620645573665708,0.018376478108021732,0.03004154682007031,0.030680728667305847,0.02588686481303931,0.019974432726110578,0.021252796420581657,0.022211569191434962,0.027804410354745925,0.017098114413550657,0.01901565995525727,0.017737296260786194,0.02652604666027485,0.02796420581655481,0.031000319590923617,0.02828379674017258
2013-06,0.02837237479806139,0.023525848142164782,0.018982229402261713,0.019991922455573505,0.018174474959612278,0.018679321486268174,0.033723747980613894,0.019991922455573505,0.018679321486268174,0.023626817447495962,0.018982229402261713,0.02675686591276252,0.025848142164781908,0.03523828756058158,0.026151050080775444,0.02544426494345719,0.027261712439418415,0.025848142164781908,0.02837237479806139,0.026352988691437804,0.025747172859450728,0.021708400646203555,0.034733441033925685,0.029281098546042002,0.024636510500807753,0.020092891760904685,0.031098546042003232,0.030593699515347333,0.017770597738287562,0.020193861066235864,0.02948303715670436,0.025747172859450728,0.02695880452342488,0.013832794830371567,0.023222940226171242,0.021607431340872375,0.024434571890145397,0.030896607431340872,0.029180129240710825,0.028776252019386106
2013-07,0.026448736998514116,0.024764735017335313,0.022486379395740465,0.023080733036156514,0.0237741456166419,0.02100049529470035,0.02773650321941555,0.027340267459138187,0.016047548291233282,0.021892025755324417,0.023476968796433878,0.02773650321941555,0.022288261515601784,0.028033680039623577,0.02050520059435364,0.022288261515601784,0.028132738979692918,0.030212976721149084,0.027439326399207528,0.022189202575532443,0.02109955423476969,0.021396731054977712,0.034868746904408124,0.02060425953442298,0.02526002971768202,0.0237741456166419,0.03140168400198118,0.0283308568598316,0.02129767211490837,0.023476968796433878,0.02526002971768202,0.02922238732045567,0.03873204556711243,0.019415552253590887,0.021792966815255076,0.018623080733036156,0.02892521050024765,0.0158494304110946,0.02823179791976226,0.03556215948489351
2013-08,0.027867095391211148,0.022909967845659164,0.02130225080385852,0.025857449088960344,0.020632368703108254,0.01781886387995713,0.027867095391211148,0.02639335476956056,0.0167470525187567,0.021704180064308683,0.019962486602357984,0.03483386923901393,0.020364415862808145,0.02652733118971061,0.02197213290460879,0.019560557341907824,0.02130225080385852,0.03362808145766345,0.030278670953912113,0.020632368703108254,0.020364415862808145,0.019962486602357984,0.035235798499464094,0.0242497320471597,0.01942658092175777,0.02451768488745981,0.0334941050375134,0.03510182207931404,0.0242497320471597,0.023981779206859594,0.02130225080385852,0.02947481243301179,0.04072883172561629,0.02197213290460879,0.01822079314040729,0.01647909967845659,0.03403001071811361,0.01339764201500536,0.027331189710610933,0.03831725616291533
2013-09,0.02608540289440772,0.020368054314811507,0.01983205288547436,0.023584062890834374,0.02412006432017152,0.02072538860103627,0.022690727175272467,0.026621404323744862,0.018760050026800073,0.021440057173485797,0.018045381454350546,0.033232088618902984,0.024656065749508665,0.029837412899767733,0.02090405574414865,0.022869394318384847,0.02608540289440772,0.0282294086117563,0.026621404323744862,0.022869394318384847,0.021618724316598177,0.02322672860460961,0.03251742004645346,0.018938717169912453,0.026800071466857246,0.02519206717884581,0.033232088618902984,0.03251742004645346,0.024477398606396285,0.021440057173485797,0.02197605860282294,0.02715740575308201,0.046632124352331605,0.025013400035733428,0.01536537430766482,0.020546721457923887,0.02840807575486868,0.016616044309451492,0.02412006432017152,0.036626764338038235
2013-10,0.025632545063667935,0.02364808996196461,0.022159748635687117,0.04316189846204729,0.025136431288242105,0.016206383330577147,0.026128658839093766,0.020340664792459072,0.027120886389945427,0.025797916322143212,0.012237473127170499,0.02794774268232181,0.022325119894162394,0.02430957499586572,0.018025467173805192,0.03274350917810485,0.015875640813626593,0.021829006118736564,0.021332892343310733,0.031089796593352075,0.019513808500082684,0.025632545063667935,0.031089796593352075,0.025797916322143212,0.04630395237307756,0.01703323962295353,0.03935835951711592,0.027286257648420704,0.025136431288242105,0.01604101207210187,0.0165371258475277,0.02149826360178601,0.03406647924590706,0.024971060029766828,0.016206383330577147,0.017363982139904085,0.021663634860261287,0.021332892343310733,0.035224078055234,0.03489333553828344
2013-11,0.020805998125585753,0.02211808809746954,0.023055295220243674,0.03392689784442362,0.024742268041237112,0.013120899718837863,0.025117150890346766,0.01893158388003749,0.02211808809746954,0.026429240862230554,0.014620431115276476,0.027366447985004688,0.02717900656044986,0.0260543580131209,0.020805998125585753,0.026804123711340205,0.016682286785379568,0.02717900656044986,0.023055295220243674,0.02549203373945642,0.02099343955014058,0.02380506091846298,0.030178069353327085,0.023992502343017807,0.04854732895970009,0.021368322399250236,0.035801312089971886,0.027741330834114338,0.018556701030927835,0.022492970946579195,0.016682286785379568,0.021743205248359886,0.05285848172446111,0.026429240862230554,0.018556701030927835,0.019119025304592314,0.021180880974695407,0.01818181818181818,0.02924086223055295,0.036925960637300845
2013-12,0.018523418893887273,0.02593278645144218,0.019581899973537972,0.024080444562053452,0.024609685101878803,0.025138925641704155,0.029108229690394283,0.01905265943371262,0.023551204022228104,0.019581899973537972,0.022757343212490077,0.029108229690394283,0.029108229690394283,0.028049748610743584,0.0214342418629267,0.030166710770044985,0.01587721619476052,0.025668166181529506,0.02196348240275205,0.02990209050013231,0.018523418893887273,0.026197406721354857,0.028578989150568935,0.036517597247949195,0.032812913469171735,0.024345064831966128,0.03598835670812384,0.030960571579783012,0.02831436888065626,0.020375760783276,0.024080444562053452,0.02328658375231543,0.02699126753109288,0.01587721619476052,0.015612595924847844,0.024080444562053452,0.024345064831966128,0.01799417835406192,0.02990209050013231,0.032019052659433715
2014-01,0.019858156028368795,0.026792750197005517,0.015760441292356184,0.019070133963750985,0.02269503546099291,0.025847123719464144,0.02379826635145784,0.022222222222222223,0.014814814814814815,0.02033096926713948,0.028211189913317572,0.04460204885736801,0.021591804570527975,0.028526398739164696,0.030890464933018124,0.02805358550039401,0.02111899133175729,0.025689519306540582,0.019858156028368795,0.02962962962962963,0.02111899133175729,0.022852639873916468,0.026477541371158392,0.03750985027580772,0.03593380614657211,0.024113475177304965,0.032781717888100866,0.027265563435776203,0.02884160756501182,0.026792750197005517,0.02553191489361702,0.02111899133175729,0.020646178092986602,0.016706067769897557,0.014972419227738377,0.020015760441292357,0.026792750197005517,0.022379826635145785,0.034988179669030735,0.02379826635145784
