mapping_id,mapping_status,user_topic_id,user_topic_label,developer_topic_id,developer_topic_label,lag_months,spearman_rho,p_value_permutation,n_observations,p_value_fdr_bh_all_tests
M001,matched,3,Customization,9,Customization,-12,-0.026746265516515884,0.8781218781218781,97,1.0
M001,matched,3,Customization,9,Customization,-11,-0.022907382259370477,0.8791208791208791,98,1.0
M001,matched,3,Customization,9,Customization,-10,0.11298701298701298,0.3016983016983017,99,0.9958396034345403
M001,matched,3,Customization,9,Customization,-9,-0.08654065406540654,0.47152847152847155,100,0.9958396034345403
M001,matched,3,Customization,9,Customization,-8,-0.06295864880605707,0.6043956043956044,101,0.9958396034345403
M001,matched,3,Customization,9,Customization,-7,0.08591978558221328,0.4015984015984016,102,0.9958396034345403
M001,matched,3,Customization,9,Customization,-6,-0.06482010279840092,0.5704295704295704,103,0.9958396034345403
M001,matched,3,Customization,9,Customization,-5,-0.03025712151925744,0.8341658341658341,104,1.0
M001,matched,3,Customization,9,Customization,-4,0.0763632593821273,0.4865134865134865,105,0.9958396034345403
M001,matched,3,Customization,9,Customization,-3,0.03306547094238859,0.8051948051948052,106,1.0
M001,matched,3,Customization,9,Customization,-2,0.0060541938517604185,0.973026973026973,107,1.0
M001,matched,3,Customization,9,Customization,-1,-0.04784360799108291,0.7322677322677322,108,0.9995729461378317
M001,matched,3,Customization,9,Customization,0,-0.0562460760034778,0.6743256743256744,109,0.9958396034345403
M001,matched,3,Customization,9,Customization,1,0.11688463251491352,0.2937062937062937,108,0.9923409923409924
M001,matched,3,Customization,9,Customization,2,-0.12366064103134972,0.25074925074925075,107,0.9685569904548006
M001,matched,3,Customization,9,Customization,3,0.19647378006909222,0.03396603396603397,106,0.7060247444862829
M001,matched,3,Customization,9,Customization,4,-0.17750408849346494,0.07992007992007992,105,0.745535456279258
M001,matched,3,Customization,9,Customization,5,0.08859513654980983,0.5404595404595405,104,0.9958396034345403
M001,matched,3,Customization,9,Customization,6,-0.0015430785240319884,0.993006993006993,103,1.0
M001,matched,3,Customization,9,Customization,7,-0.058687987877000525,0.6703296703296703,102,0.9958396034345403
M001,matched,3,Customization,9,Customization,8,0.05189881158674185,0.6603396603396603,101,0.9958396034345403
M001,matched,3,Customization,9,Customization,9,-0.10019832042745495,0.47952047952047955,100,0.9958396034345403
M001,matched,3,Customization,9,Customization,10,0.11552911419076316,0.36063936063936064,99,0.9958396034345403
M001,matched,3,Customization,9,Customization,11,-0.06097603738670497,0.6613386613386614,98,0.9958396034345403
M001,matched,3,Customization,9,Customization,12,0.1336725938644461,0.3076923076923077,97,0.9958396034345403
M002,matched,6,Game Graphics,4,Graphics Optimization,-12,-0.0624474016410688,0.6323676323676324,97,0.9958396034345403
M002,matched,6,Game Graphics,4,Graphics Optimization,-11,-0.020000127511173166,0.8601398601398601,98,1.0
M002,matched,6,Game Graphics,4,Graphics Optimization,-10,0.030896722325293755,0.7962037962037962,99,1.0
M002,matched,6,Game Graphics,4,Graphics Optimization,-9,-0.019681968196819683,0.8641358641358642,100,1.0
M002,matched,6,Game Graphics,4,Graphics Optimization,-8,-0.20999417588817706,0.07392607392607392,101,0.745535456279258
M002,matched,6,Game Graphics,4,Graphics Optimization,-7,0.12290006841917772,0.22077922077922077,102,0.9126700071581961
M002,matched,6,Game Graphics,4,Graphics Optimization,-6,-0.030191538900847865,0.8191808191808192,103,1.0
M002,matched,6,Game Graphics,4,Graphics Optimization,-5,0.07466126106902805,0.45254745254745254,104,0.9958396034345403
M002,matched,6,Game Graphics,4,Graphics Optimization,-4,0.05525606469002695,0.6433566433566433,105,0.9958396034345403
M002,matched,6,Game Graphics,4,Graphics Optimization,-3,0.10405320301282213,0.3196803196803197,106,0.9958396034345403
M002,matched,6,Game Graphics,4,Graphics Optimization,-2,-0.09547600854248711,0.3916083916083916,107,0.9958396034345403
M002,matched,6,Game Graphics,4,Graphics Optimization,-1,-0.12660169386569112,0.2897102897102897,108,0.9923409923409924
M002,matched,6,Game Graphics,4,Graphics Optimization,0,0.12990485104485572,0.26373626373626374,109,0.9878819810326661
M002,matched,6,Game Graphics,4,Graphics Optimization,1,-0.1111113757454916,0.3646353646353646,108,0.9958396034345403
M002,matched,6,Game Graphics,4,Graphics Optimization,2,0.17332866369069716,0.16183816183816183,107,0.8850524475524475
M002,matched,6,Game Graphics,4,Graphics Optimization,3,-0.17555527005942811,0.18281718281718282,106,0.8978675645342312
M002,matched,6,Game Graphics,4,Graphics Optimization,4,0.08947255202329454,0.5054945054945055,105,0.9958396034345403
M002,matched,6,Game Graphics,4,Graphics Optimization,5,0.038376289278620655,0.7482517482517482,104,0.9995729461378317
M002,matched,6,Game Graphics,4,Graphics Optimization,6,-0.07178884535469816,0.5914085914085914,103,0.9958396034345403
M002,matched,6,Game Graphics,4,Graphics Optimization,7,0.09688409136569294,0.4515484515484515,102,0.9958396034345403
M002,matched,6,Game Graphics,4,Graphics Optimization,8,-0.0011764740141983901,0.995004995004995,101,1.0
M002,matched,6,Game Graphics,4,Graphics Optimization,9,-0.07420364297556042,0.5834165834165834,100,0.9958396034345403
M002,matched,6,Game Graphics,4,Graphics Optimization,10,0.060921647871806,0.6123876123876124,99,0.9958396034345403
M002,matched,6,Game Graphics,4,Graphics Optimization,11,-0.2533591331775689,0.03896103896103896,98,0.739033693579148
M002,matched,6,Game Graphics,4,Graphics Optimization,12,0.06706970291727975,0.5794205794205795,97,0.9958396034345403
M003,matched,6,Game Graphics,11,Rendering Issues,-12,0.21177414264674943,0.08491508491508491,97,0.745535456279258
M003,matched,6,Game Graphics,11,Rendering Issues,-11,-0.11689586800043354,0.3596403596403596,98,0.9958396034345403
M003,matched,6,Game Graphics,11,Rendering Issues,-10,-0.03245516388373531,0.8361638361638362,99,1.0
M003,matched,6,Game Graphics,11,Rendering Issues,-9,0.0856045604560456,0.4905094905094905,100,0.9958396034345403
M003,matched,6,Game Graphics,11,Rendering Issues,-8,0.03525917297612114,0.8381618381618382,101,1.0
M003,matched,6,Game Graphics,11,Rendering Issues,-7,-0.07774341112009545,0.48951048951048953,102,0.9958396034345403
M003,matched,6,Game Graphics,11,Rendering Issues,-6,0.046478935114000794,0.7282717282717283,103,0.9995729461378317
M003,matched,6,Game Graphics,11,Rendering Issues,-5,-0.07638962978768804,0.5494505494505495,104,0.9958396034345403
M003,matched,6,Game Graphics,11,Rendering Issues,-4,-0.12702674683806758,0.2777222777222777,105,0.9922509922509922
M003,matched,6,Game Graphics,11,Rendering Issues,-3,0.17860795526110285,0.11488511488511488,106,0.800161377084454
M003,matched,6,Game Graphics,11,Rendering Issues,-2,-0.03882325280667725,0.7492507492507493,107,0.9996356883269208
M003,matched,6,Game Graphics,11,Rendering Issues,-1,0.01827240942391418,0.8991008991008991,108,1.0
M003,matched,6,Game Graphics,11,Rendering Issues,0,0.02429344892381861,0.8551448551448552,109,1.0
M003,matched,6,Game Graphics,11,Rendering Issues,1,0.001414733713298937,0.99000999000999,108,1.0
M003,matched,6,Game Graphics,11,Rendering Issues,2,-0.05839176510079695,0.6353646353646354,107,0.9958396034345403
M003,matched,6,Game Graphics,11,Rendering Issues,3,0.06760225609577863,0.5534465534465535,106,0.9958396034345403
M003,matched,6,Game Graphics,11,Rendering Issues,4,-0.034537721692324407,0.7982017982017982,105,1.0
M003,matched,6,Game Graphics,11,Rendering Issues,5,0.1059962285190704,0.32367632367632365,104,0.9958396034345403
M003,matched,6,Game Graphics,11,Rendering Issues,6,-0.13739988523062058,0.1838161838161838,103,0.8978675645342312
M003,matched,6,Game Graphics,11,Rendering Issues,7,0.09760221203824127,0.3726273726273726,102,0.9958396034345403
M003,matched,6,Game Graphics,11,Rendering Issues,8,-0.21746132050564104,0.060939060939060936,101,0.739033693579148
M003,matched,6,Game Graphics,11,Rendering Issues,9,0.2021968262740162,0.06293706293706294,100,0.741682559864378
M003,matched,6,Game Graphics,11,Rendering Issues,10,-0.06674726885396429,0.6143856143856143,99,0.9958396034345403
M003,matched,6,Game Graphics,11,Rendering Issues,11,-0.059369391483165695,0.6683316683316683,98,0.9958396034345403
M003,matched,6,Game Graphics,11,Rendering Issues,12,0.1708005825296631,0.14585414585414586,97,0.8472296933835395
M004,matched,22,Light Design,11,Rendering Issues,-12,-0.06541920892068168,0.6503496503496503,97,0.9958396034345403
M004,matched,22,Light Design,11,Rendering Issues,-11,-0.034153867732660076,0.7642357642357642,98,1.0
M004,matched,22,Light Design,11,Rendering Issues,-10,0.14779220779220778,0.25274725274725274,99,0.9685569904548006
M004,matched,22,Light Design,11,Rendering Issues,-9,-0.08864086408640864,0.5304695304695305,100,0.9958396034345403
M004,matched,22,Light Design,11,Rendering Issues,-8,-0.013011065812463599,0.942057942057942,101,1.0
M004,matched,22,Light Design,11,Rendering Issues,-7,-0.0023466081616728206,0.983016983016983,102,1.0
M004,matched,22,Light Design,11,Rendering Issues,-6,0.07587971708474278,0.5654345654345654,103,0.9958396034345403
M004,matched,22,Light Design,11,Rendering Issues,-5,-0.07443721327216472,0.5364635364635365,104,0.9958396034345403
M004,matched,22,Light Design,11,Rendering Issues,-4,0.014949201741654572,0.9070929070929071,105,1.0
M004,matched,22,Light Design,11,Rendering Issues,-3,-0.10796281834899363,0.3806193806193806,106,0.9958396034345403
M004,matched,22,Light Design,11,Rendering Issues,-2,0.20153755348312144,0.0919080919080919,107,0.7782540040604558
M004,matched,22,Light Design,11,Rendering Issues,-1,-0.17702272386305856,0.11888111888111888,108,0.800161377084454
M004,matched,22,Light Design,11,Rendering Issues,0,0.16627320515568011,0.12187812187812187,109,0.8129370629370628
M004,matched,22,Light Design,11,Rendering Issues,1,-0.07674334967999721,0.4915084915084915,108,0.9958396034345403
M004,matched,22,Light Design,11,Rendering Issues,2,0.1176799057584638,0.2957042957042957,107,0.9923409923409924
M004,matched,22,Light Design,11,Rendering Issues,3,-0.32928012011117935,0.000999000999000999,106,0.06993006993006994
M004,matched,22,Light Design,11,Rendering Issues,4,0.31410510601677655,0.012987012987012988,105,0.5454545454545454
M004,matched,22,Light Design,11,Rendering Issues,5,-0.10184599873608918,0.3706293706293706,104,0.9958396034345403
M004,matched,22,Light Design,11,Rendering Issues,6,0.09899864637455048,0.3936063936063936,103,0.9958396034345403
M004,matched,22,Light Design,11,Rendering Issues,7,-0.0776927404788503,0.46353646353646355,102,0.9958396034345403
M004,matched,22,Light Design,11,Rendering Issues,8,0.013680878511643655,0.8841158841158842,101,1.0
M004,matched,22,Light Design,11,Rendering Issues,9,0.056213790020625105,0.6243756243756243,100,0.9958396034345403
M004,matched,22,Light Design,11,Rendering Issues,10,-0.15935114208839968,0.2037962037962038,99,0.8978675645342312
M004,matched,22,Light Design,11,Rendering Issues,11,0.024475847713044792,0.7762237762237763,98,1.0
M004,matched,22,Light Design,11,Rendering Issues,12,-0.023794260842822802,0.8241758241758241,97,1.0
M005,matched,36,Sound Design,34,Audio and Visual,-12,0.02612823479907427,0.8531468531468531,97,1.0
M005,matched,36,Sound Design,34,Audio and Visual,-11,0.03962409706150501,0.7682317682317682,98,1.0
M005,matched,36,Sound Design,34,Audio and Visual,-10,0.06559059987631416,0.5994005994005994,99,0.9958396034345403
M005,matched,36,Sound Design,34,Audio and Visual,-9,-0.21974197419741975,0.061938061938061936,100,0.739033693579148
M005,matched,36,Sound Design,34,Audio and Visual,-8,0.2104717530576587,0.08491508491508491,101,0.745535456279258
M005,matched,36,Sound Design,34,Audio and Visual,-7,-0.11584328050166524,0.34865134865134867,102,0.9958396034345403
M005,matched,36,Sound Design,34,Audio and Visual,-6,-0.006996002284408909,0.9250749250749251,103,1.0
M005,matched,36,Sound Design,34,Audio and Visual,-5,0.12510402219140082,0.2857142857142857,104,0.9923409923409924
M005,matched,36,Sound Design,34,Audio and Visual,-4,-0.09894256686709517,0.4695304695304695,105,0.9958396034345403
M005,matched,36,Sound Design,34,Audio and Visual,-3,-0.008781520014106859,0.97002997002997,106,1.0
M005,matched,36,Sound Design,34,Audio and Visual,-2,-0.05481102686181156,0.6743256743256744,107,0.9958396034345403
M005,matched,36,Sound Design,34,Audio and Visual,-1,0.10511875160764812,0.4245754245754246,108,0.9958396034345403
M005,matched,36,Sound Design,34,Audio and Visual,0,-0.005699193772588268,0.993006993006993,109,1.0
M005,matched,36,Sound Design,34,Audio and Visual,1,0.05998075585660255,0.6463536463536463,108,0.9958396034345403
M005,matched,36,Sound Design,34,Audio and Visual,2,-0.17993103313152686,0.09090909090909091,107,0.7760532150776053
M005,matched,36,Sound Design,34,Audio and Visual,3,0.27391994357256216,0.01998001998001998,106,0.6767426122264832
M005,matched,36,Sound Design,34,Audio and Visual,4,-0.31504250466514616,0.000999000999000999,105,0.06993006993006994
M005,matched,36,Sound Design,34,Audio and Visual,5,0.20257121519257443,0.07492507492507493,104,0.745535456279258
M005,matched,36,Sound Design,34,Audio and Visual,6,-0.13585643368624523,0.2907092907092907,103,0.9923409923409924
M005,matched,36,Sound Design,34,Audio and Visual,7,0.14445493664157963,0.24075924075924077,102,0.9612060942859422
M005,matched,36,Sound Design,34,Audio and Visual,8,-0.15288293535235878,0.14685314685314685,101,0.8472296933835395
M005,matched,36,Sound Design,34,Audio and Visual,9,0.13676567656765676,0.25074925074925075,100,0.9685569904548006
M005,matched,36,Sound Design,34,Audio and Visual,10,0.0008534322820037105,1.0,99,1.0
M005,matched,36,Sound Design,34,Audio and Visual,11,-0.12079770989932993,0.34865134865134867,98,0.9958396034345403
M005,matched,36,Sound Design,34,Audio and Visual,12,0.06482747738270565,0.6373626373626373,97,0.9958396034345403
