mapping_id,user_topic_label,developer_topic_label,user_mean_relative_impact,developer_mean_relative_impact,stakeholder_alignment_score,discussion_salience_gap_log2_user_over_developer,best_lag_months,best_lag_spearman_rho,best_lag_p_value_permutation,best_lag_fdr_bh,has_any_lag_fdr_0.05
M020,Target Tracking,Object Tracking,0.0225435283181368,0.0228317474459565,0.9936481019021928,-0.0183279502643424,-4,0.1834231805929919,0.1398601398601398,0.1433566433566434,False
M049,Horror Game,Horror Game,0.0194432996178267,0.0191545093295328,0.9925179616107144,0.0215890022226283,0,0.2424344925702189,0.0179820179820179,0.0307192807192807,False
M040,Mac OS,IOS Development,0.0233639005557887,0.0228669838309037,0.9892514120924476,0.0310150633899354,-8,-0.2345719277810134,0.0499500499500499,0.0633003360276087,False
M022,Comfort Issues,Cybersickness,0.0225645199831867,0.0231400251620418,0.9874081412031604,-0.0363343448935249,-3,0.251369121092274,0.0009990009990009,0.0031506954583877,False
M004,Light Design,Rendering Issues,0.0228792115219455,0.0221839095789032,0.9845704885493674,0.0445236927789122,3,-0.3292801201111793,0.0009990009990009,0.0031506954583877,False
M032,Technical Issues,Technical Challenges,0.0195843620124656,0.0187096545220198,0.9771581158211676,0.0659192121389371,-4,-0.2467091196077112,0.0129870129870129,0.0253555967841682,False
M007,Game Interface,Environment & Interface.,0.0202235149821958,0.0191632830646946,0.9730815407687626,0.0776890234858741,5,-0.2238688132935829,0.0259740259740259,0.0394420394420394,False
M009,UI Design,Environment & Interface.,0.0205579476030978,0.0191632830646946,0.9648886876131234,0.1013514950691073,-4,0.2750155504872486,0.0009990009990009,0.0031506954583877,False
M023,Physical Reactions,Cybersickness,0.0212957220403053,0.0231400251620418,0.9584950577449158,-0.119826787308764,0,-0.2679414974094333,0.0009990009990009,0.0031506954583877,False
M028,Installation,Installation and Setup,0.0198496970032696,0.0216258525524867,0.9571758405084776,-0.1236400235547568,4,-0.3192017827832013,0.0009990009990009,0.0031506954583877,False
M019,Hardware Support,Compatibility Issues,0.0239398772876307,0.0218054616799888,0.9533413533320616,0.1347262207886365,-10,0.29291280148423,0.0129870129870129,0.0253555967841682,False
M036,Privacy & Security,Safety,0.0282601507027499,0.0320397381545241,0.9373201589034844,-0.1810931981870648,7,-0.2519126270137008,0.0329670329670329,0.0480209445726687,False
